// Start Time: 0
// Sample rate: 50.0Hz
// Scenario: 4.9
// Firmware Version: 2.5.1
Counter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_w	Quat_x	Quat_y	Quat_z
 1110	5.022130	9.711809	-0.945971	-0.289485	-0.084348	0.075929	-0.277961	-1.033992	0.098055	0.690078	0.620168	-0.361633	-0.091679	
 1111	5.854631	10.974357	-0.837966	-0.205202	-0.222389	0.190149	-0.280190	-1.012217	0.098770	0.690665	0.617795	-0.364433	-0.092190	
 1112	5.256312	10.482113	-0.632181	-0.305481	-0.325545	0.297605	-0.283357	-0.992561	0.098458	0.691631	0.614293	-0.368233	-0.093248	
 1113	6.418339	11.988511	-0.553087	-0.145882	-0.417378	0.328103	-0.283468	-0.973341	0.100341	0.691228	0.611612	-0.373286	-0.093766	
 1114	6.609184	12.688871	0.009228	-0.202865	-0.428858	0.088067	-0.282078	-0.953492	0.098719	0.690942	0.609473	-0.376595	-0.096527	
 1115	4.903237	12.585626	0.626089	-0.251620	-0.413433	-0.353025	-0.271222	-0.938442	0.098837	0.690515	0.608583	-0.377344	-0.102115	
 1116	2.607007	11.186396	1.523470	-0.362477	-0.460617	-0.704814	-0.258058	-0.925857	0.095991	0.690234	0.608245	-0.375851	-0.111138	
 1117	2.370470	11.085305	1.906610	-0.342783	-0.431948	-0.608580	-0.242956	-0.914961	0.090568	0.689968	0.607592	-0.374998	-0.118964	
 1118	2.083444	10.654871	2.197410	-0.323986	-0.370202	-0.387599	-0.224874	-0.904150	0.085737	0.690074	0.606359	-0.374806	-0.125089	
 1119	1.929727	10.193860	2.164634	-0.307005	-0.391099	-0.244658	-0.216759	-0.894323	0.081723	0.690154	0.604574	-0.375855	-0.130044	
 1120	2.283873	9.889907	1.989315	-0.243376	-0.473313	-0.176039	-0.209973	-0.883823	0.079506	0.689607	0.602932	-0.377737	-0.135022	
 1121	2.574059	9.645453	1.671111	-0.239590	-0.528411	-0.188478	-0.206377	-0.873018	0.074948	0.688812	0.601170	-0.380110	-0.140179	
 1122	2.659756	9.143853	1.400321	-0.194801	-0.567640	-0.213601	-0.199427	-0.863890	0.073390	0.687512	0.599832	-0.382458	-0.145788	
 1123	2.777711	8.719771	1.103482	-0.157558	-0.577576	-0.247798	-0.190502	-0.857037	0.072727	0.685914	0.598735	-0.384884	-0.151336	
 1124	2.793241	7.931022	0.776526	-0.066165	-0.591732	-0.230258	-0.185001	-0.850188	0.072915	0.683671	0.598260	-0.387459	-0.156697	
 1125	2.711309	7.306872	0.675634	-0.065997	-0.641245	-0.187157	-0.178809	-0.842575	0.074228	0.681326	0.597401	-0.390785	-0.161847	
 1126	2.785714	6.766409	0.426215	-0.006393	-0.603296	-0.136160	-0.177052	-0.835145	0.076726	0.678774	0.596901	-0.394068	-0.166387	
 1127	2.932965	6.500784	0.252017	0.019649	-0.554529	-0.053805	-0.173182	-0.828794	0.080413	0.676433	0.596191	-0.397714	-0.169757	
 1128	3.054538	6.356225	0.119209	0.056884	-0.515784	0.004529	-0.171683	-0.821102	0.082897	0.674043	0.595674	-0.401325	-0.172559	
 1129	3.303986	6.327549	0.015123	0.064333	-0.506602	0.044152	-0.173814	-0.813877	0.087282	0.671762	0.594915	-0.405294	-0.174778	
 1130	3.624220	6.394247	-0.024224	0.056801	-0.463579	0.093156	-0.173612	-0.807952	0.092065	0.669703	0.594102	-0.409061	-0.176664	
 1131	3.840794	6.353452	-0.015836	0.028743	-0.411496	0.129322	-0.177369	-0.800674	0.094607	0.668148	0.592884	-0.412835	-0.177859	
 1132	4.068577	6.234492	0.078185	0.079079	-0.369011	0.196880	-0.180096	-0.792716	0.100035	0.666502	0.591937	-0.416609	-0.178389	
 1133	4.269412	6.279780	0.084696	0.092024	-0.308416	0.236838	-0.182852	-0.785394	0.104782	0.665180	0.590837	-0.420450	-0.177956	
 1134	4.254204	6.366058	0.197598	0.119844	-0.237618	0.228996	-0.188797	-0.776842	0.110012	0.663879	0.590244	-0.423599	-0.177316	
 1135	4.588197	6.807364	0.241424	0.148590	-0.175122	0.236638	-0.193652	-0.770070	0.116489	0.662785	0.589715	-0.426660	-0.175821	
 1136	4.855463	7.225978	0.304561	0.171741	-0.113571	0.233226	-0.200165	-0.763621	0.123122	0.661698	0.589654	-0.429093	-0.174196	
 1137	5.348668	7.911518	0.322629	0.212568	-0.041854	0.243634	-0.203845	-0.756038	0.130088	0.660820	0.589706	-0.431432	-0.171556	
 1138	5.884228	8.616472	0.228219	0.240348	0.028873	0.287207	-0.207585	-0.747187	0.135865	0.660018	0.590097	-0.433349	-0.168433	
 1139	6.044224	8.970517	0.222155	0.262733	0.048297	0.371218	-0.212678	-0.740040	0.142733	0.659458	0.590025	-0.435934	-0.164156	
 1140	6.705621	9.882518	0.023034	0.307361	0.099878	0.477364	-0.220091	-0.730140	0.149628	0.658856	0.590122	-0.438595	-0.159058	
 1141	6.612789	10.537477	-0.212305	0.268106	0.107018	0.487530	-0.226490	-0.723137	0.156009	0.658696	0.589599	-0.441477	-0.153595	
 1142	6.070523	10.272315	0.424830	0.261458	0.171225	0.338714	-0.233736	-0.716472	0.160726	0.658428	0.590078	-0.442749	-0.149180	
 1143	9.863052	14.858563	-0.276292	0.627379	0.203995	0.369040	-0.237764	-0.708806	0.168473	0.656386	0.592504	-0.444806	-0.142284	
